"Есть срок для регистрации, или до 4-го курса можно поступить?",7
Калай катысуға болады? https://instagram.com/stories/sdukz/1762577723588659333,8
Менде 4 универге заявления бере аламба жок биреуыне ганама?,1
"Здравствуйте, в вашем университете обучение только на английском языке?",3
"Салеметсіздерме!Мен spt тіркелейін деп едім бірақ,тіркелінбей тұр.Бірнеше рет байқап көрдім тіркелінбейді.Анықтама нөмерлеріне хабарласқанымда ешкім жауап бермеді.(оқып,жауап береді деген ойдамын)",4
"Салеметсзбе!мен сду регистрация тіркеліп едм,енді email дан келген пропуск кагазд щгартайн десем сду-дан келген сообщение жок.Енді не істесем болады. Эмайл барлығын карап шықтым еш жерден сду-дың жберген сообщениесі щықпады.Алдында сіз тркелдіңіз сздң пропускңз деп шғп тр еді,енді щгарайн десем жоқ",7
Уздик аттестат иелерине женилдик бар ма,3
86баллмен грантка тусуге бола ма?,1
SPT ға тіркелгенде жеке куәлікті қалай еңгізуге болады?,2
"Я не могу зарегистрироваться. Все правильно написала, но не зарегистрируются?",2
Почему ваш университет назван именем президента Турции? Можете поделиться историей. Просто в интернете про это ничего нет?,3
Буган 11 битргендер гана тусема или 9 битрген дер да тусема,3
Сіздерде нефте газ окуы барма,3
Здравствуйте можно ли свидетельством о рождение регистрироваться? Просто я еще не получила удостоверение.,7
Я так зарегистрировалось но мне все еще не отправили ID карту,7
Можно ли в течении недели сдать документы на платной основе?,2
Гранттың баллы шықты ма,3
Стюардесса болу ушин СДУ-да кандай факультет тандау керек?,3
Сду да физика математика тапдап кандай мамандыкка тусуге болады,3
Сосын сду да шыгармашылык тандап кай пан окуга болады,3
Сизден сурайын дегеним информационные системы деген мамандыкка грантка тусу ушин канша балл жинау керек,3
"Оку туралы аныктама, деген жерде не толтырамыз?",7
Осындай ис шараларга окушылар келуге болады ма мысалы кеше болсан концерт бугин болатын концерттерге,8
Тек сду студенттери ма? https://instagram.com/stories/sdukz/1973955186234116299,8
Правда что первокурсникам расписание поставил декан? Нам не нужно заморачиваться?,7
"Просто завтра уже на учебу,а я так и не понела расписание",7
У вас есть специальность общая медицина?,3
Жалпы осы университетте дефектолог мамандығы барма?,3
Мен педпсиxолог мамандығын бітірдім. Магистр финанс оқығым келеді,5
Сәлеметсіз бе! Мен сіздерге магистрантқа тапсырайын дегем. Соны қашанға дейін тапсырсам болады? Және қалай тапсырамын?,5
Олимпиада жүлдегерлері сіздерді тегін оқи алама?,3
Биыл мен 91 аллым таңдау пәнім джт гео мұғалімдікке түсе аламба?,1
Сіздерді география тарих факультеті жоқпа?,3
Мен Шоқан Уалиханов университетіне грантқа түстім мамандығым география тарих! Енді сұрақ сіздерге 2 курста немесе 1 семестрде басқа мемлекеттік университетке ауысуға болама? Грант сақталып қалама?,6
Сурайын дегеним филология факультети бойынша SPT(SDU) олимпиадасы болама?,4
Тест қағаз түрінде болама или онлайн түрде болама,4
Саламатсызба былтыргы грант тизими барма тех мамандыктар,1
Бул барлык универде проходной бырдей боладма?,1
"Рахмет, алдынгы жылы логистикага 1 орынга канша адам грантка жазганын блп бере аласызба отиниш!",1
"Здравствуйте, хотел спросить могу ли я перевестись к вам не лишившись гос гранта",6
Хотела спросить кто у вас отвечает за музыку можно ваш плей-лист,8
Кеше тікелей эфир ютубка сакталады деген еди?,8
"Мен казыр онлайн окып жатырмын. Бырау универге агылшын, турык тылынен кытап алуга барайын деген едым. Университетке пцр тестсыз кыре аласыңба???",1
Ал егер поатный оқып сосын грантқа ауысуға бола ма,1
Егер мен Түркістанда. Яссауи университетінде оқып. 1 семестрден кейн СДУ-ға грантқа . Тарих пəнінің мұғалімлігіне қазақ бөлімге ауыса алам ба?,6
Бұл не https://instagram.com/stories/sdukz/1958716495911920474,8
Осыған қалай тіркеледі. Және фаундейшн оқитындар қатыса ала ма?) https://instagram.com/stories/sdukz/1977599035649194311,8
Олимпиядадан жеңген грантка әсерін тигізбейба ЕНТ балы,3
Дүние жүзі тарих және Адам қоғам құқық пәндері бойынша қандай бағыттағы мамандықтар бар СДУ да ?,3
Медицина саласы барғо ия ?,3
"Сәлеметсізбее, ағылшын курсы болама?",7
"Сәлеметсізбе,грант олимпиядасы калай өтеді?",3
Жатаханада жылына қанша төлейміз?,3
Грантқа түссе жатақхана тегін бола ма?,3
Тек осы қалаларда өтіледіме? Мен Шымкенттің жанындаға Арыс қаласынан қатыса аламынба? https://instagram.com/stories/sdukz/1966755763033988162,8
Сіздерде ақылы оқыту қанша тұрады?,3
Салеметсиздерме сиздерде университетте дін жагы катты карала ма?,1
"Здравстуйте , Я прошёл регистрацию на олимпиаду SPT, могут участвовать все, кто зарегистрировался да?",4
Кто то забыл это в магазине Алтын тага,1
Сіздерде әдебиет мұғалім филология оплатасы қанша,3
Сіздің универ жайлы ақпараттарды қайдан аламыз,3
Сиздерде биология география пандеринен мамандыктар барма,3
"Сәлеметсіз бе, міндетті түрде алматы мен каскеленнен өту керек пе? алде өз каланнан бола ма https://instagram.com/stories/sdukz/2486358000572584853",8
қайырлы кеш! Сіздерде журналистика факультеті бар деп естідім. Соған түсу үшін не істеуім керек. Сіздердің талаптарыңыз қандай?,3
"ақылу оқуға түсетін болсам жылына қанша төлеуім керек, айтып жіберсеңіз екен айып болмаса, рақмет!",3
Ал платный оқыса қанша төлейді жылына ?,3
Физмат 83 баллмен грантка мумкиндик барма,1
Когда начинается урок в сду,7
Мне очень интересно сколько мне ещё ждать письмо об олимпиаде SPT? Потому что я жду не дождусь этого.,4
"Здравствуйте, у меня вопрос. В каком виде и каким образом я должна преставить доказательства, что касается апилляции моего теста?",7
"Здравствуйте, мне так сильно хочется узнать результаты. Во сколько Вы опубликуете результаты?",8
а дедлайн на экзамен по английскому какой?,3
а его обязательно в самом СДУ сдавать или можно онлайн?,3
"здравствуйте, а надо записываться в сду чтобы сдать документы?",3
IT мамандығына грантка түсу үшін канша бал кажет,1
"Здравствуйте! Можете помочь с нахождением номера образовательной программы, который у вам имеется: физика-информатика(педагогика)",3
Здравствуйте! Обязательно ли отправлять вместе с оригиналами документов результат тестирования английского языка? И нужно ли отксерокопировать результат через принтер?,2
Если я черзе доверенного человека отправлю документы нужно контракт отправлять или же этот доверенный человек может сам подписать в приемной комиссии?,2
"На сайте enroll в контракте написано оказание платных образовательных услуг, а что если у меня гимеется государственный грант я должна это заполнить?",2
"Здравствуйте. Я хочу подать на государственный грант, а именно на информационные системы, компьютерные науки, математическое и компьютерное моделирование",3
А как именно егов поймет на какую я специальность хочу поступить?,2
"Тіркеу кезінде фото енгізіңізілмей тұр, басқаша жолдары болмайма?",2
"здраствуйте , закончив сду я получу международный диплом ? или как ?",7
вы оправляете студентов за обменом знаниям?,8
"Нужен ли IELTS для поступления в цифровой маркетинг или менеджмент, или можно поступить по гос гранту?",3
Здравствуйте. Можно узнать полный список специальностей вашего ВУЗа?,3
"Добрый вечер! Хотела узнать, если получишь грант на олимпиаде сду, можно ли будет потом от него в случае чего отказаться?",1
Можно ли на олимпиаду SPT просто сфотографировать документный и прикрепить?,4
Хотела узнать можно ли после spt в качестве подтверждения сдать платное ент в марте?,4
"А если получить грант на spt,там же надо хотя бы 50 набрать да? Платное значит не подойдёт?",4
Хотела узнать можно ли поменять предметы на spt?,4
Сколько будет длится олимпиада spt?,4
"Прошу прощения за позднее время. Хотела уточнить, на карте написано регистрация в 9, а на сайте и в инсте в 10. В какое именно время?",7
"Добрый день! Извините, но вы не знаете когда точно будут результаты spt?",4
"Добрый вечер! Хотела узнать, а обладателям алтын белги есть скидка?",3
А я вот подучила 15% скидку. Это на 4 года?,7
"А можно узнать если не секрет, сколько человек сдавало географию?",1
"Я хотела спросить , сколько баллов надо набрать чтобы поступить в SDU ?",3
Здравствуйте. Обязательно ли сертификат Ielts чтобы поступить в грант ?,3
Сертификат об окончании Advanced level подойдёт.,3
Сіздің университетте ақпараттық технологиялар факультетіне Ielts керек па екен,3
Сду университетінде Қазақ турік лицей тулектеріне 10% жеңілдік барма еді,3
Және международный олимпиадала иелеріне 10% барма,3
Сабақ ағылшынша өтедіғой да,3
Сдуға It факультетіне жылдық оку канша тенге,3
Платный отделениеге енрол арқылы тапсырамынба,2
Және форма 086 обезателно ма,2
Саламатсызба СДУда окуды 3 жылда бітіретін программа барма,7
Жылына канша тенге болады тогда,3
Сдуға оригинал документтерді 30 қыркүйекке дейін жіберсек боладыма,7
25іне дейін тек енроллға тіркелсек болдыма,2
Можно продлить регистрацию на день,7
Какой уровень английского нужен чтобы сдать олимпиаду?,3
"Здравствуйте,а сертификаты грантов уже готовы?",7
Сыздерде грант неше баллдан бастап физмат бойынша,1
Егер мен ұбт дан орыс тілі мен әдебиеті пәндерін таңдасам аудармашыны оқи аламын ба,3
"Я на ЕНТ 98 баллов набрал, история-чоп возможно ли поступить на грант?",1
Я учусь в 9 классе я могу ли в этом году поступить?,3
Саламатсызба..осы пәндер бойынша қандаймамандық шығады екен.қиын болмаса айта аласызба..2020 бітіруші қызым бар.ол қосымша физ/мат оқып жатқан еді.Алдын ала рахмет.,3
"Кешіріңіз,lТ деген не екен.",1
СюШет тiлi платный неше,3
Шетел филологиясы платный неше,3
Жақсы оқыған жағдайда грантқа ауысу мүмкiндiгi барма,7
Жатахана неше,3
Жазда маусымда КТА тапсырып СДУга грантка тусуге болама?,3
А завтра мы все еще можем придти и забрать свои дипломы с документами? https://instagram.com/stories/sdukz/2347281162095047859,8
"Здравствуйте можно ли с дипломом бакалавра Туризм, поступить на магистратуру Международные отношения ?",5
Сколько баллов потребуется чтобы поступить в грант,1
11класстарга отыныш калдыруга болама?,3
Агылшынга стипендия барма?,1
Спт олимпиадасы кай кунге дейн болады?,4
Жақын арада сайыстар бар дейді соған калай қатысады,8
Олимпиада кай жерде өтеді?,3
запланировано ли день открытых дверей в скором времени?,8
Могу ли притий в университет что б узнать немного поближе универ?,7
Вышли ответы SPT?,4
Могу ли я подать на целевой грант кбту и на гос грант на вас?,6
Размещение рекламы на экранах хотел предложить,8
Я хотел регистраться на олимиаде .Я уже получил код что мне делать дальше,4
Мен SPT ға катысатын едім но отчество деген жерге акемнін атынын озін гана жазган едім ұлы дегенді коспаппын,4
Мен осы жылдын тулегімін СДУ ға тускім келеді ентдан 106 балл алдым англ+джт екі шет тілі мамандыгы бойынша грантка тусуге шанс барма,1
сіздердің уневерге қалай түсүге болды?,3
У вас гранты делятся на русскую и каз?,3
А можете специальность посоветовать,1
Сәлеметсізбе! Менің 11-сынып оқып жатқан оқушыларым тапсырып көрсе болады ма?,1
Сәлеметсіз бе биология xимиямен тек мұғалім бола аламын ба ??),3
"Салеметсиз бе! СДУда окып жатыр деген справканы кай жерден алсам болады? Маган сайтка жазсын деди, сайтка жазсам куратордан сурасын дейди, куратордан сурасам сайтка жазсын дейди😅Накты кай жерден алуга болатынын айта аласыз ба?",7
Сәлеметсізбе. 122упаймен грантқа іліне аламызба.Алматы қаласындама,1
Сиздерге калай окуга тусуге болады,1
IR тек бир группа 16 адам кай жерге отырады? Юрфак пен экофакка салып койыпсыздар,7
у вас проходной бал какой?,1
Когда подаем документы обязателен ли снимок флюро?,2
Сәлеметсіздер ме. Сонда ағылшын тілін жетік меңгеру керек пе?,1
Сіздерге кем дегенде қанша баллмен түсуге болады. Химия биологияға,3
"Және де ""Алтын белгі"" иегерлері үшін жеңілдіктер қарастырылған ба?Әлде...",3
Тағы бір сұрайын дегенім былтыр сіздерге 80-90 балл жинағандар да түсіпті-міс сол рас па?,1
Конкурста негізі ҰБТ балына қатты назар аудара ма әлде аттестат балына ма,1
"Здравствуйте, я регистрировалась довольно давно, и писала вам, 17.02 сказали ждать три рабочих дня, но ID карточки еще нету",7
Мен spt ге регистрация кезінде байқамай басқа кластер таңдап қойыппын,4
Мен spt ге регистрация кезінде байқамай басқа кластер таңдап қойыппын,4
"Здравствуйте! Скажите пожалуйста, вот мы сдали документы в ваш университет Но в остальных университетах дают справки (форма г-05) Нам такую не дают или как?",7
"Здравствуйте! Как можно отказаться от гранта? Звонила в универ, с которого подавала и вам тоже. Никто не дал точного ответа.",7
Окуга кашан кабылдай бастайды,3
"Сәлеметсіз бе, Арнайы психометрикалық тестті сіздерге тапсыруға болама? Онлайн тапсырады деп жатыр сол калай болады және барлық универлерде онлайн болады ма? Немесе кейінірек өзіміздің таңдаған универден барып тапсырса болады ма?",1
"Сәлеметсіздер ме, SPT олимпиадасының нәтижелері қашан шығады?",4
Салеметсиз бе! Дуолинго аркылы уровень аныктау экзаменин телефондагы приложение аркылы тапсыра ма,1
Саламатсыз ба. 88 баллмен IT га тусуге бола ма?,1
"Здраствуйте сколько стоит обучение в год, на факультете два иностранных языка?",3
Здрасьвуйте а сколько баллов на грант нужно на факультет 2 инностранных языка,1
"Грантка түсуге кужаттарды кайда, калай тапсыруға болады?",3
"Кешіріңіз , бүгінгі суреттерді қайдан алса болады ?",8
Я участвую на СПТ и потеряла удостоверение,4
Мен наурыз айында болатын тестке қатыса аламын ба?,4
"Саламатсызба! Кандай мамандыктар бар, канша грант болинеди сол туралы акпарат калай плуга болады",3
"Здравствуйте! Извините, хотела узнать, а можно оплачивать проживание в общежитии по месяцам или неделям? И английский язык всем нужно сдавать и какого числа?(если нужно)",1
"Здравствуйте! Извините, могу я спросить а можно ли оплачивать проживание по месяцам или неделям ?",1
Здравствуйте. Мне еще письмо от эдвайзера не пришло. Когда оно придет?,1
"Егерде студент колледжден сон мамандыкты жалгастыратын болса, 2-курстан бастап окиды ма?",6
Какие документы нужны для поступления?,1
"Извините, все абитуренты будут сдавать тест?",3
"Здравствуйте, у меня к вам вопрос про SPT. Я делала регистрацию и у меня там просят добавить 2 файла",4
Здравствуйте. До скольких работает приемная комиссия и только по будням?,3
У вас есть грант на два иностранных языка?,3
Сәлеметсіз бе! SPT-ға қатысқанда 1 тур онлайн түрде өте ме?! Оны үйде отырып тапсырамыз ба? Әлде өзімізге жақын жерге барып тапсырамыз ба?,4
Маған жақын қала Қызылорда. Сонда мен 1 наурызда сонда барып тапсырамын. Сосын болды ма?,4
Коллежден киин туссем сокращенный окимба?,6
Сколько у вас проходной балл,3
"здравствуйте, какие предметы надо сдать, чтобы поступить на международное отношение?",1
а когда у вас будут экзамены на внутренный грант? и можно ли после колледжа поступить?,3
здравствуйте! когда будут проходить олимпиады?,8
возможно ли поступить к вам после колледжа?,6
"в городе Нур-Султан возможно будет сдать? или надо в Алматы, то есть в самом универе сдавать?",3
Где можно найти вопросы с пробного экзамена?,4
"здравствуйте, я на данный момент учусь на профессию переводчика, если поступлю в ваш универ на грант, возможно ли поступить сразу на 2 курс?",6
"и еще один вопрос об SPT, во время заполнение бланки, заранее надо указать на какую профессию хочешь поступить?",4
заранее надо указать на какую профессию хочешь поступить?,4
"не могу прикрепить файл, уд. личности и справку",2
Сіздерде ағылшын мұғалімі мамандығы оқытылады ма,3
Ағылшын- география таңдау керек пе әлде ағылшын- дүние тарих таңдау керек па,1
Бұл мамандыққа мемлекеттік грант бөлінеді ма,1
Ағылшын- география таңдау керек пе әлде ағылшын- дүние тарих таңдау керек па,1
Биыл мен кешенді тест тапсыруым керек еді Сіздерге онлайн тіркелу керек пе,7
"Мен грант алу үшін кешенді тест тапсыруға кешігіп қалдым, Августте тест тапсырсам сіздерге рекрторский грант алуға болады ма, мен IELTS сертификаты бар, былтыр мектепті алтын белгімен бітіргенмін, таңдау пәнім ағылшын дүние тарихы",3
Мен сіздер ойнатып жатқан внутренный грант қа қатысып жатыр едім алайда мынаған түсінбедім,4
SDU факультет переводческого дела жылына канша болады оку акысы?,3
Регистрация жасаиын десем осылай шыгып жатр .баска калай жасауга болады,9
Здравствуйте а когда возможно заселение в общежитие?,1
Просто если встреча поступающих 30 августа и учеба начинается 3 сентября то возможно ли в это время заселиться в общежитие?,1
Салеметсиз бе!Бугин болады ма результат? https://instagram.com/stories/sdukz/1837990234357732794,8
 Сду дын конкурсы кай уакытта болады ?,4
ID карта не пришло,7
Грантка 90баллмеен тусуге болама 2шет тилине,1
Былтыр каншамен тускен еды айта алмайсызба??,1
87баллмен еки шет тилине мумквндык барма тусуге?,1
биология географияга кандай мамандықтар бар,3
Менын балым 61 болып калды кандай мумкындыктер бар,1
"Простите за беспокойство, но можно узнать подробнее про этот тест? Обязательно сдавать ? Я не  смогла найти в просторах интернета https://instagram.com/stories/sdukz/1824026518138146763",8
Магистратура жылына канша?,5
Сіздерле ielts дайындалуға мүмкіндік барма?,1
Стипендия қашан түседі?,7
"Озге университеттердіки түсті, біздікі қашан көрсен кеш түсетіні немі",7
Юрист мамандығы бар ма сіздерде,3
Оплатасы қанша?),3
Добрый день. Где будет презентация в Кокшетау?,8
"Добрый день. Нужно ли заново регистрироваться тем, кто зарегистрировался в начале?",8
"Поступила на специальночть международные отношения, только в другом ВУЗе. Есть возможность перевестись к вам после 1 семестра на грантовой основе?",6
"Здравствуйте, я хотела бы спросить сколько у вас стоят обучение на менеджмент",3
Сіздерде жатахана құны қанша,1
Енді агылшынша тест тапсырамыз ба сонда,1
"Сәлеметсіз бе! SDU оқу орнына, ҰБТ тапсырмай ақылы бөлімге түсуге бола ма?",1
"Аяулы ұстаздар, мерекелеріңіз құтты болсын. #ұстаздаркүні #karagandy_ktl",8
Олимпиадага тиркелип едим сду дын тест туринде болады ма?,4
Кандай сабактардан болады тандау панимиз ба,4
Кай жерде болады или онлайн турде бола ма,4
"Казыргы кезде Еки шет тили мамандыгы дурыспа алде Туризм ? (француз ,карис , турк тилдерн менгергенмин)",1
"Здравствуйте, можно узнать обучаясь на хоз.расчете можно ли выиграть внутренний грант или же ректорский?",1
"Добрый вечер,когда и где можно узнать результаты олимпиады?",4
Если есть желающие то есть работа в должности офис менеджера.,1
"Сәлеметсіздерме, осы жылы сіздер ""международные отношения "" мамандығына грант бөлесіздер ме? Өте -өте маңызды болып тұр.Міндетті түрде жауап берсеңіз",3
"Ал ""SPT"" олипиядасы арқылы грант ұтып алуға болады ма? Немесе "" халықаралық қатынастар "" мамандығы бұл олимпиадада ойнатылмайды ма ??",4
"Сәлеметсіздерме, мемлекеттік грант ""аударма ісі""не бөліне ма?или тек канал ақылы оқытылады ма?",3
"Мемлекеттік грант ""екі шет тілі / два иностранных языка "" мамандығына бөлінген ба бұл университетке? Әлде тек ақылы түрде оқытылады ма?",3
Мемлекеттік грант бар ма?,3
"Керемет! Кез-келген уақытта жазсам да жауап бересіздер,өте ризамын әрі қуаныштымын",1
Здравствуйте. Уровень Pre-İntermediate со 40% скидкой сколько будет стоить?,1
"Документ тапсырмады әлі. Бүгін соңғы күн дейді ғой, шынмен бе",2
"Здравствуйте, хотела узнать для поступления в СДУ нужно сдать внутренний тест или достаточно просто подать документы?",3
